[Fri Oct 07 21:12:29.081913 2016] [:error] [pid 8138] [client 127.0.0.1:52856] script '/home/lma/Sites/myiot/public/phpinfo.php' not found or unable to stat
[Sat Oct 08 15:57:40.082400 2016] [:error] [pid 1908] [client 127.0.0.1:42528] PHP Fatal error:  Cannot use [] for reading in /home/lma/Sites/myiot/storage/framework/views/4da8b0383ea45d8f8c6834a2eaa26f75395994f3.php on line 5, referer: http://myiot.local/
[Fri Oct 14 12:29:44.323261 2016] [:error] [pid 3304] [client 127.0.0.1:48664] PHP Warning:  require(/home/lma/Sites/myiot/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php): failed to open stream: No such file or directory in /home/lma/Sites/myiot/vendor/composer/autoload_real.php on line 66, referer: http://myiot.local/graph/12.0
[Fri Oct 14 12:29:44.323321 2016] [:error] [pid 3304] [client 127.0.0.1:48664] PHP Fatal error:  require(): Failed opening required '/home/lma/Sites/myiot/vendor/composer/../laravel/framework/src/Illuminate/Foundation/helpers.php' (include_path='.:/usr/share/php') in /home/lma/Sites/myiot/vendor/composer/autoload_real.php on line 66, referer: http://myiot.local/graph/12.0
[Mon Oct 17 10:50:35.951477 2016] [core:error] [pid 3247] (13)Permission denied: [client 127.0.0.1:51950] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.png, referer: http://myiot.local/home
[Mon Oct 17 10:50:36.110109 2016] [core:error] [pid 3247] (13)Permission denied: [client 127.0.0.1:51950] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.png, referer: http://myiot.local/home
[Mon Oct 17 10:51:14.525457 2016] [core:error] [pid 3304] (13)Permission denied: [client 127.0.0.1:51962] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.png, referer: http://myiot.local/home
[Mon Oct 17 10:51:14.706462 2016] [core:error] [pid 3245] (13)Permission denied: [client 127.0.0.1:51966] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.png, referer: http://myiot.local/home
[Mon Oct 17 10:51:38.206642 2016] [core:error] [pid 3244] (13)Permission denied: [client 127.0.0.1:51976] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.png, referer: http://myiot.local/home
[Mon Oct 17 10:51:38.390491 2016] [core:error] [pid 3244] (13)Permission denied: [client 127.0.0.1:51976] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.png, referer: http://myiot.local/home
[Mon Oct 17 10:53:30.749256 2016] [core:error] [pid 3246] (13)Permission denied: [client 127.0.0.1:51988] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.png, referer: http://myiot.local/home
[Mon Oct 17 10:53:30.897181 2016] [core:error] [pid 3246] (13)Permission denied: [client 127.0.0.1:51988] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.png, referer: http://myiot.local/home
[Mon Oct 17 10:54:50.165388 2016] [core:error] [pid 3245] (13)Permission denied: [client 127.0.0.1:51998] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.png, referer: http://myiot.local/home
[Mon Oct 17 10:54:50.534672 2016] [core:error] [pid 3245] (13)Permission denied: [client 127.0.0.1:51998] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.png, referer: http://myiot.local/home
[Mon Oct 17 10:57:37.001928 2016] [core:error] [pid 3247] (13)Permission denied: [client 127.0.0.1:52010] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.svg, referer: http://myiot.local/home
[Mon Oct 17 10:57:37.203540 2016] [core:error] [pid 3247] (13)Permission denied: [client 127.0.0.1:52010] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.svg, referer: http://myiot.local/home
[Mon Oct 17 11:00:44.564634 2016] [core:error] [pid 5185] (13)Permission denied: [client 127.0.0.1:52074] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.svg, referer: http://myiot.local/home
[Mon Oct 17 11:00:44.881244 2016] [core:error] [pid 3246] (13)Permission denied: [client 127.0.0.1:52078] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.svg, referer: http://myiot.local/home
[Mon Oct 17 11:04:24.460228 2016] [core:error] [pid 3245] (13)Permission denied: [client 127.0.0.1:52120] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.jpg, referer: http://myiot.local/home
[Mon Oct 17 11:04:24.709208 2016] [core:error] [pid 3244] (13)Permission denied: [client 127.0.0.1:52124] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.jpg, referer: http://myiot.local/home
[Mon Oct 17 11:05:28.838068 2016] [core:error] [pid 3248] (13)Permission denied: [client 127.0.0.1:52126] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.jpg, referer: http://myiot.local/home
[Mon Oct 17 11:05:29.546350 2016] [core:error] [pid 3248] (13)Permission denied: [client 127.0.0.1:52126] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.jpg, referer: http://myiot.local/home
[Mon Oct 17 11:05:46.367046 2016] [core:error] [pid 5185] (13)Permission denied: [client 127.0.0.1:52132] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.jpg, referer: http://myiot.local/home
[Mon Oct 17 11:05:46.560926 2016] [core:error] [pid 5185] (13)Permission denied: [client 127.0.0.1:52132] AH00132: file permissions deny server access: /home/lma/Sites/myiot/public/images/iot.jpg, referer: http://myiot.local/home
